Experiment_ID,Section,Reference,Catalyst,Pollutant,Light_source,Light_power_W,Light_wavelength_nm,Initial_concentration_mg_L,Initial_concentration_text,Catalyst_dosage_g_L,Catalyst_loading_wt_percent,Catalyst_loading_text,pH,pH_min,pH_max,pH_tested_text,pH_optimum,Time_min,Removal_percent,COD_reduction_percent,Finding_text,Original_Text,Data_Quality_Flag,Notes
E01,"Photodegradation effect of TiO2 form and structure on organic pollutants","Bagbi et al., 2017","TiO2 Degussa P-25","Rhodamine B","UV light",NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,55,NA,"55% degradation at 120 min.","TiO2 Degussa P-25 Rhodamine B UV light. Initial concentration is 0.2 g/L, at 120 min, 55% degradation.","Medium","0.2 g/L converted to 200 mg/L; interpreted as initial pollutant concentration."
E02,"Photodegradation effect of TiO2 form and structure on organic pollutants","Khunphonoi and Grisdanurak, 2016","TiO2 nanorods","P-cresol","UV light",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,80,NA,"80% degradation for TiO2 nanorods after 240 min.","TiO2 nanorods, TiO2 Degussa P-25 P-cresol UV light. Degradation is 80% and 50% for TiO2 nanorods and TiO2 Degussa P-25, respectively, after 240 min.","High",NA
E03,"Photodegradation effect of TiO2 form and structure on organic pollutants","Khunphonoi and Grisdanurak, 2016","TiO2 Degussa P-25","P-cresol","UV light",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,50,NA,"50% degradation for TiO2 Degussa P-25 after 240 min.","TiO2 nanorods, TiO2 Degussa P-25 P-cresol UV light. Degradation is 80% and 50% for TiO2 nanorods and TiO2 Degussa P-25, respectively, after 240 min.","High",NA
E04,"Photodegradation effect of TiO2 form and structure on organic pollutants","Shaban et al., 2018","TiO2 nanoribbons and carbon nanotubes","Methylene blue","UV light",NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,97.5,NA,"97.5% degradation at 180 min.","TiO2 nanoribbons and carbon nanotubes Methylene blue UV light. Initial concentration is 0.2 g/L, at 180 min, 97.5% degradation.","Medium","0.2 g/L converted to 200 mg/L; interpreted as initial pollutant concentration."
E05,"Photodegradation effect of TiO2 form and structure on organic pollutants","Mohammadi et al., 2014","Multi-walled carbon nanotube TiO2","2,4-dichlorophenol","UV light",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,93,NA,"93% degradation under UV light after 120 min.","The multi-walled carbon nanotube TiO2 2,4-dichlorophenol UV and solar light. Degradation is 93% and 87% for UV and solar light, respectively, after 120 min.","High",NA
E06,"Photodegradation effect of TiO2 form and structure on organic pollutants","Mohammadi et al., 2014","Multi-walled carbon nanotube TiO2","2,4-dichlorophenol","Solar light",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,87,NA,"87% degradation under solar light after 120 min.","The multi-walled carbon nanotube TiO2 2,4-dichlorophenol UV and solar light. Degradation is 93% and 87% for UV and solar light, respectively, after 120 min.","High",NA
E07,"Photodegradation effect of TiO2 form and structure on organic pollutants","Zulfiqar et al., 2018","TiO2 nanotube","Orange II","UV light",NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,89.46,NA,"89.46% degradation at 2000 min.","TiO2 nanotube Orange II UV light. Initial concentration is 70 mg/L, at 2000 min, 89.46% degradation.","High",NA
E08,"Photodegradation effect of TiO2 form and structure on organic pollutants","Alias et al., 2020","Nano flower-like rutile TiO2","Methylene blue","Solar light",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,98.95,NA,"98.95% degradation at 180 min.","Nano flower-like rutile TiO2 Methylene blue Solar light. Initial concentration is 5 mg/L; at 180 min; 98.95% degradation.","High",NA
E09,"Photodegradation effect of TiO2 form and structure on organic pollutants","Dong et al., 2020","Hierarchical mesoporous TiO2 nano shell","Methylene blue","UV light",NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,100,NA,"~100% degradation at 40 min.","Hierarchical mesoporous TiO2 nano shell Methylene blue UV light. Initial concentration is 6 mg/L; at 40 min; ~100% degradation.","Medium","Approximate value reported as ~100%; stored as 100."
E10,"Photodegradation effect of TiO2 form and structure on organic pollutants","Faisal et al., 2007","TiO2 Degussa P-25","Acridine Orange and ethidium bromide","Solar light",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Highest efficiency of degradation was achieved using P-25.","TiO2 Degussa P-25 Acridine Orange and ethidium bromide Solar light. Highest efficiency of degradation was achieved using P-25.","Medium","Qualitative comparison only; no numeric degradation percentage reported."
